freeman_centrality Population,-0.12827258787677162,0.16626974699128433
entropy Population,-0.13918380700504357,0.13279909257844685
mean Population,-0.19606352629872911,0.033351960679462667
mean founding century,-0.04160333135256223,0.63315688540129555
freeman_centrality founding century,0.15320759449548932,0.077171270318495605
freeman_centrality Area,-0.15748596079309723,0.088536322880398671
entropy Area,0.14726744474908035,0.11152089170376578
gini Population,0.21910729843584484,0.017133970067081096
gini founding century,-0.2849008987731757,0.00084842397498613518
mean Area,-0.34249496966843096,0.00014685780895981083
stddev Population,-0.12535950374148846,0.17618378851950567
cv Population,-0.036957717503967202,0.69112729779322279
entropy founding century,0.45025242529531084,4.8028171020014002e-08
stddev Area,-0.31764397797328986,0.00045661637938242898
cv Area,-0.2967466167154133,0.0011023853766502281
stddev founding century,-0.19590947602142486,0.023292666981821388
cv founding century,-0.40908983231597568,9.2154490511738176e-07
gini Area,-0.007432249295213262,0.93633544084796894
